doc_id,name,category,amount,discount,price,date,shop_id,till_id
wr579r6bpg0rdlcpapic,"Горшок Фелиция 0,4л Д105 см террак с поддоном /57/С101Т",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,6,14,40.4,2025-03-23,1,3
wr579r6bpg0rdlcpapic,Доска деревянная раздел с руч 18х38см БЕЗ РИСУНКА с ручкой/10/,КУХОННЫЕ ПРИНАДЛЕЖНОСТИ,3,15,104.53,2025-03-23,1,3
wr579r6bpg0rdlcpapic,ТЕСТО Ратобор брикет ЭКСТРА 200гр/30/,СРЕДСТВА ОТ ГРЫЗУНОВ,6,2,67.8,2025-03-23,1,3
wr579r6bpg0rdlcpapic,Тиски слесарные 80мм на струбцине,ИНСТРУМЕНТЫ,4,4,1034.38,2025-03-23,1,3
wr579r6bpg0rdlcpapic,"Горшок Фелиция 1,8л Д18см терракот с поддоном /20/С103Т",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,4,8,76.5,2025-03-23,1,3
wr579r6bpg0rdlcpapic,Бенгальские огни 210мм 6шт ТР159 Экстра/200/,НОВЫЙ ГОД,6,11,43.56,2025-03-23,1,3
wr579r6bpg0rdlcpapic,Освежитель МЕЛОДИЯ Лимон 300мл /12/,СИБИАР,1,0,69.4,2025-03-23,1,3
wr579r6bpg0rdlcpapic,Сердцевина 60мм ЗОЛОТО/12/,ЗАМКИ,1,12,131.01,2025-03-23,1,3
wr579r6bpg0rdlcpapic,Нож МULTICOLOR кухонн универсальны с зубчиками/300,"НОЖИ, НОЖЕТОЧКИ, ОВОЩЕРЕЗКИ, ТЕРКИ",6,8,43.8,2025-03-23,1,3
wr579r6bpg0rdlcpapic,Зубочистки LINGER в пласт банке №1 60шт/12/480/,СРЕДСТВА ГИГИЕНЫ,6,6,11.34,2025-03-23,1,3
d0bkray7j895ob0y84ml,"ЗЕРНО ""МЫШ СМЕРТЬ"" №1 200гр  с эф мумиф/50/",СРЕДСТВА ОТ ГРЫЗУНОВ,2,15,33.7,2025-03-23,1,3
d0bkray7j895ob0y84ml,Батарейка Kodak R03Extra heavy duty/4/40/200/,БАТАРЕЙКИ,1,1,16.9,2025-03-23,1,3
d0bkray7j895ob0y84ml,Карниз для ванны угловой/40/,ТОВАРЫ ДЛЯ ВАННОЙ КОМНАТЫ,6,5,357.21,2025-03-23,1,3
d0bkray7j895ob0y84ml,Таз 9л /20/С61-00-СИН,ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,7,13,151.3,2025-03-23,1,3
d0bkray7j895ob0y84ml,"Пленка самоклеющаяD&В 0,45*8м дерево светл",ТОВАРЫ ДЛЯ ДОМА,5,12,334.2,2025-03-23,1,3
d0bkray7j895ob0y84ml,Корзина д/хранения Велетта прямоуг 21х11х5см /68/С711,ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,4,10,31.4,2025-03-23,1,3
d0bkray7j895ob0y84ml,Молоток 300гр фибергласс.ручка/6/48/,ИНСТРУМЕНТЫ,3,16,234.62,2025-03-23,1,3
ubw9x5j3xd5gnsu0m39x,Держатель д/ножей магнитный 33*5см NA1162-1,КУХОННЫЕ ПРИНАДЛЕЖНОСТИ,5,8,157.45,2025-03-23,1,3
ubw9x5j3xd5gnsu0m39x,Тройник ПРОГРЕСС б/з белый/20/240/,ЭЛЕКТРОТОВАРЫ,1,4,76.5,2025-03-23,1,3
ubw9x5j3xd5gnsu0m39x,"Термоклеенка сил проз 0,8м*20м*0,7мм Ландыши на св мраморе",КЛЕЁНКИ И СКАТЕРТИ,1,2,5650.6,2025-03-23,1,3
ubw9x5j3xd5gnsu0m39x,Газ для портативных плит  Следопыт всесезонный 400мл/28/,ЗАЖИГАЛКИ И АКСЕССУАРЫ,5,5,76.0,2025-03-23,1,3
ubw9x5j3xd5gnsu0m39x,Кювета для краски 160*290мм,ИНСТРУМЕНТЫ,5,14,36.8,2025-03-23,1,3
ubw9x5j3xd5gnsu0m39x,Набор вешалок-плечиков детских 8шт 315х195х40мм белый/6/,ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,7,11,160.2,2025-03-23,1,3
ubw9x5j3xd5gnsu0m39x,Коврик для в/к BOMBINI VELVET 1пр 60*100см разводы,ТОВАРЫ ДЛЯ ВАННОЙ КОМНАТЫ,4,15,719.2,2025-03-23,1,3
5kzjhpaoqves0eo56sm8,МАРКЕР по металлу (черный) /12/144/,ИНСТРУМЕНТЫ,5,7,38.39,2025-03-23,1,3
5kzjhpaoqves0eo56sm8,Белизна г.Стерлитамак 1л/9,БЫТОВАЯ ХИМИЯ,6,8,67.38,2025-03-23,1,3
5kzjhpaoqves0eo56sm8,Теплолента самокл из пенополиэтилена 50мм 10м/120/,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,1,16,30.66,2025-03-23,1,3
5kzjhpaoqves0eo56sm8,Газовая горелка с пьезо CHAMPION 920 белая/10/100/,ЗАЖИГАЛКИ И АКСЕССУАРЫ,1,13,190.6,2025-03-23,1,3
41ie9wrevaxrgfp8cd8j,Яйцерезка ST-112 S-101/240,КУХОННЫЕ ПРИНАДЛЕЖНОСТИ,1,14,66.16,2025-03-23,1,3
41ie9wrevaxrgfp8cd8j,"Свеча для торта ""ЦИФРА 1"" /30/",ТОВАРЫ ДЛЯ ПРАЗДНИКА,5,3,34.7,2025-03-23,1,3
41ie9wrevaxrgfp8cd8j,ПРОЖЕКТОР светодиодный ПРОГРЕСС 30Вт 6500К /80/,ЭЛЕКТРОТОВАРЫ,4,8,357.9,2025-03-23,1,3
41ie9wrevaxrgfp8cd8j,"Клеенка DЕКОRАМА ТУРЦИЯ 1,4*20м Коричнево-бежев листья на бел 244А",КЛЕЁНКИ И СКАТЕРТИ,2,14,4003.1,2025-03-23,1,3
41ie9wrevaxrgfp8cd8j,"Стрейч-пленка NR 17мк 500мм 3,0 кг/6/",КАНЦЕЛЯРСКИЕ ТОВАРЫ,6,15,750.1,2025-03-23,1,3
nohmdioi7ajzn240wq1n,"Ящик для инструмент ""Массимо""16""(404х238х209мм)/6/С675",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,7,10,707.8,2025-03-23,1,3
nohmdioi7ajzn240wq1n,"Вешалка металл 6 крючков4,5мм/настенная49см по10шт",ТОВАРЫ ДЛЯ ДОМА,3,10,1381.1,2025-03-23,1,3
nohmdioi7ajzn240wq1n,Удлинитель Обиход10 метров 3 гнезда без заз 6А/50/,ЭЛЕКТРОТОВАРЫ,3,5,195.7,2025-03-23,1,3
nohmdioi7ajzn240wq1n,Перчатки латексные БИКОЛОР КРАСНЫЕ S цена за 12пар,ТОВАРЫ ДЛЯ УБОРКИ,2,10,915.97,2025-03-23,1,3
nohmdioi7ajzn240wq1n,Черенок дер  25*1200 с евро-резьбой/20/,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,1,0,75.86,2025-03-23,1,3
nohmdioi7ajzn240wq1n,Лопата АМЕРИКАНКА ШТЫК рельсовая сталь /12/,САД И ОГОРОД,2,8,178.1,2025-03-23,1,3
nohmdioi7ajzn240wq1n,Шары воздушные 7 19 см ассорти 100шт.,ТОВАРЫ ДЛЯ ПРАЗДНИКА,1,3,335.6,2025-03-23,1,3
nohmdioi7ajzn240wq1n,Безмен столбик пласт 20кг S-703А Пятигорск/60/240/,КУХОННЫЕ ПРИНАДЛЕЖНОСТИ,5,1,72.04,2025-03-23,1,3
nohmdioi7ajzn240wq1n,Форма для льда с крышкой круглые ячейки (силиконов,КУХОННЫЕ ПРИНАДЛЕЖНОСТИ,1,16,111.9,2025-03-23,1,3
nohmdioi7ajzn240wq1n,Силиконовая смазка д/АВТО 225мл 320см (52-165)/24/,АВТОТОВАРЫ,4,9,139.4,2025-03-23,1,3
zcruaff3kzjw0cz0nbpc,Теплолента самокл из пенополиэтилена 50мм 10м/120/,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,7,13,30.66,2025-03-23,1,3
zcruaff3kzjw0cz0nbpc,Длинногубцы усиленные GREPP 3х комп.рукоятка160мм/6/60/,ИНСТРУМЕНТЫ,4,7,185.1,2025-03-23,1,3
zcruaff3kzjw0cz0nbpc,"Контейнер с защелками и ручкой 10л ""Клик"" прозрачн/10/С274ПРО",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,3,16,332.0,2025-03-23,1,3
