id,name,category,price
1,Автосредство Унисма-1 СИБИАР 225мл /24/,АВТОТОВАРЫ,109.81
2,"Губка ""Б автомобильная""Автолюкс""(195х120х65мм)/12/",АВТОТОВАРЫ,46.10
3,Губка ФУКС для авто/6/180/,АВТОТОВАРЫ,30.50
4,Лопата АВТОМОБИЛЬН снег неразб с оц.планк мет чер,АВТОТОВАРЫ,313.80
5,Набор АВТОМОБИЛИСТА в сумке 6 предметов,АВТОТОВАРЫ,2196.70
6,Набор д/ремонта камеры 48 заплаток 108-30-15/2023,АВТОТОВАРЫ,77.00
7,Набор термоусадок АВТО-Электрика ТУТ10см,АВТОТОВАРЫ,55.40
8,Очиститель двигателя АUТО МОВIL 440мл/12/,АВТОТОВАРЫ,129.10
9,Очиститель карбюратора АВТОМАСТЕР 210мл /24/,АВТОТОВАРЫ,121.59
10,Салфетка в тубусе автомобильная  65х42см БОЛЬШАЯ/100/,АВТОТОВАРЫ,180.10
11,Силиконовая смазка д/АВТО 225мл 320см (52-165)/24/,АВТОТОВАРЫ,139.40
12,Смазка универсальная проникающая 520мл /12/,АВТОТОВАРЫ,237.40
13,"Солнцезащитный козырек д/авто HD"" Vision"" цена за 2шт/2/",АВТОТОВАРЫ,254.46
14,"Трос-ремень буксировочный 5т, 2 крюка блистер кейс",АВТОТОВАРЫ,414.30
15,Шланг для манометра и краскопульта 15метров,АВТОТОВАРЫ,658.00
16,Щетка  МП  Автомойка  /20/,АВТОТОВАРЫ,115.14
17,Щетка МП автомоб ЛЮКС/18/,АВТОТОВАРЫ,292.76
18,"Губка ""Б д/тела Comoda"" (130*90*50) /40/",БАННЫЕ ПРИНАДЛЕЖНОСТИ,18.90
19,"Губка ""Б д/тела Forte"" (115*115*50) /40/",БАННЫЕ ПРИНАДЛЕЖНОСТИ,18.50
20,"Губка ""Б д/тела Smart"" (130*85*50) /40/",БАННЫЕ ПРИНАДЛЕЖНОСТИ,17.00
21,"Губка ""Белоручка"" д/тела Прелесть (массаж) /40/",БАННЫЕ ПРИНАДЛЕЖНОСТИ,32.80
22,"Мочалка ""МЕДВЕДЬ ОДНОТОННЫЙ""15*40см /50/",БАННЫЕ ПРИНАДЛЕЖНОСТИ,67.80
23,Мочалка АНТИЦЕЛЛЮЛИТНАЯ/50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,60.70
24,Мочалка банная  CLEAN BODU /25/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,86.30
25,Мочалка банная детская ЛИСТИК /100/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,60.70
26,Мочалка БАННАЯ ДЛИННАЯ 13*42см/50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,42.60
27,Мочалка банная ДОРОЖНАЯ /50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,55.60
28,Мочалка БАННАЯ КОРОТКАЯ 14*33см/50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,33.68
29,Мочалка банная МОЧАЛКИН ДЖАЗ/40/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,63.90
30,Мочалка банная ПЧЕЛКА 12х45см/50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,52.56
31,Мочалка банная РОССИЙСКАЯ/50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,83.70
32,Мочалка банная ФЛАГ /50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,54.20
33,Мочалка банная ШАМПАНЬ /50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,34.20
34,Мочалка БАРСКАЯ/25/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,72.20
35,Мочалка ДВОЙНОЙ ЭФФЕКТ /50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,81.20
36,Мочалка детская ОБЛАЧКО/100/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,54.30
37,Мочалка ЗДОРОВЫЙ РУМЯНЕЦ /50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,67.10
38,Мочалка СЕМЕЙНАЯ/50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,76.50
39,Мочалка СПОРТИВНАЯ /25/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,79.90
40,Мочалка СУПРУЖЕСКАЯ/50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,86.30
41,Мочалка ТОНУС ПЛЮС /50/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,67.10
42,Мочалка ШАХТЕРСКАЯ  /25/,БАННЫЕ ПРИНАДЛЕЖНОСТИ,95.30
43,Батарейка  Хамелион R03 спайка /4/60/1200/,БАТАРЕЙКИ,17.10
44,Батарейка  Хамелион R06 спайка /4/60/960/,БАТАРЕЙКИ,16.10
45,Батарейка  Хамелион R14 /144/12/2/,БАТАРЕЙКИ,41.40
46,Батарейка  Хамелион R20 /2/12/144/,БАТАРЕЙКИ,75.60
47,Батарейка  Хамелион алкалиновые LR23А,БАТАРЕЙКИ,64.30
48,Батарейка Хамелион алкалиновые LR27А,БАТАРЕЙКИ,66.30
49,Батарейка  Хамелион Крона F6 22 /12/,БАТАРЕЙКИ,66.50
50,Батарейка Energizer MAX powerLR03блистBL/4/48,БАТАРЕЙКИ,56.50
51,Батарейка Kodak R03Extra heavy duty/4/40/200/,БАТАРЕЙКИ,16.90
52,Батарейка Kodak R06Extra heavy duty/4/24//576//,БАТАРЕЙКИ,16.40
53,Батарейка Kodak R14Extra heavy duty/2/24/144/,БАТАРЕЙКИ,42.30
54,Батарейка Kodak R20Extra heavy duty/2/24/144/,БАТАРЕЙКИ,67.10
55,Батарейка Minamoto R14 heavy duty/480/24/2/,БАТАРЕЙКИ,31.10
56,Батарейка Minamoto R20 heavy duty/288/24/2/,БАТАРЕЙКИ,37.60
57,Батарейка Minamoto КронаF6 22Extra heavy duty/10/,БАТАРЕЙКИ,43.70
